SDP Name,City,Yr,Revenue,Products,Invoices
"LIAQUAT NATIONAL HOSPITAL, KARACHI","LIAQUAT NATIONAL HOSPITAL, KARACHI",2025.0,0.0,5,24
LIFE CARE - RAWALPINDI,Rawalpindi,2024.0,0.0,13,77
LIFE CARE - RAWALPINDI,Rawalpindi,2025.0,0.0,13,176
LIFE LINE DISTRIBUTORS,LIFE LINE DISTRIBUTORS,2024.0,52535930.58,144,2095
LIFE LINE DISTRIBUTORS,LIFE LINE DISTRIBUTORS,2025.0,59891349.06,168,2522
LIFE PHARMA - QATAR,Qatar,2024.0,3528.0,8,32
LIFE PHARMA - QATAR,Qatar,2025.0,4365.0,4,9
LIFE SUPPORT PVT LTD,LIFE SUPPORT PVT LTD,2024.0,11835.25,7,25
LIFE SUPPORT PVT LTD,LIFE SUPPORT PVT LTD,2025.0,1282.5,5,11
M. ABDULLAH ENTERPRISES,M. ABDULLAH ENTERPRISES,2024.0,69872929.54,176,4213
M. ABDULLAH ENTERPRISES,M. ABDULLAH ENTERPRISES,2025.0,72236355.32,177,4485
MACTER INTERNATIONAL LTD.,MACTER INTERNATIONAL LTD.,2025.0,0.0,1,1
MARTIN DOW LIMITED,MARTIN DOW LIMITED,2024.0,0.0,4,16
MARTIN DOW LIMITED,MARTIN DOW LIMITED,2025.0,19940.0,3,40
MARTIN DOW MARKER LTD.,MARTIN DOW MARKER LTD.,2024.0,0.0,1,3
MAX ENTERPRISES,MAX ENTERPRISES,2024.0,8760149.82,70,236
MAX ENTERPRISES,MAX ENTERPRISES,2025.0,7918018.24,48,221
MED N TECH PHARMA,MED N TECH PHARMA,2024.0,922685.4,16,50
MED N TECH PHARMA,MED N TECH PHARMA,2025.0,1743792.25,18,55
MEDDEC LLC,MEDDEC LLC,2024.0,2351.9,4,8
MEDDEC LLC,MEDDEC LLC,2025.0,704.85,4,52
MEDI AIM PHARMA,MEDI AIM PHARMA,2024.0,14600046.36,96,484
MEDI AIM PHARMA,MEDI AIM PHARMA,2025.0,12332158.14,78,477
MEDICATE  INTERNATIONAL,MEDICATE  INTERNATIONAL,2024.0,10591749.27,71,401
MEDICATE  INTERNATIONAL,MEDICATE  INTERNATIONAL,2025.0,10719982.41,72,374
MEDSWANA (PTY) LTD,MEDSWANA (PTY) LTD,2024.0,1695.75,3,5
MEDSWANA (PTY) LTD,MEDSWANA (PTY) LTD,2025.0,0.0,1,3
MH INTERNATIONAL GROUP LLC,MH INTERNATIONAL GROUP LLC,2024.0,27446.1,2,5
MH INTERNATIONAL GROUP LLC,MH INTERNATIONAL GROUP LLC,2025.0,20905.760000000002,17,32
"MOIC - CPMC, MEDICAL STORE","Cpmc, Medical Store",2024.0,4119866.1500000004,4,232
"MOIC - CPMC, MEDICAL STORE","Cpmc, Medical Store",2025.0,3385483.6999999997,6,249
MS CPEIC MULTAN,MS CPEIC MULTAN,2024.0,0.0,3,12
MS CPEIC MULTAN,MS CPEIC MULTAN,2025.0,12352.4,6,11
MS PUNJAB INST. OF NEUROSCIENCES-LH,Lh,2025.0,0.0,1,1
MS Teaching Hosp. DG Khan,MS Teaching Hosp. DG Khan,2024.0,0.0,2,3
MS Teaching Hosp. DG Khan,MS Teaching Hosp. DG Khan,2025.0,0.0,1,2
N.G.GROUP,N.G.GROUP,2024.0,0.0,5,31
N.G.GROUP,N.G.GROUP,2025.0,0.0,2,6
N.S. TRADERS,N.S. TRADERS,2024.0,0.0,3,23
N.S. TRADERS,N.S. TRADERS,2025.0,0.0,2,24
NABI QASIM INDUSTRIES (PVT) LTD,NABI QASIM INDUSTRIES (PVT) LTD,2024.0,0.0,4,5
"NACOPHARM MB CO., LTD","NACOPHARM MB CO., LTD",2024.0,263.52000000000004,1,7
"NACOPHARM MB CO., LTD","NACOPHARM MB CO., LTD",2025.0,0.0,1,3
NAJAM BROTHERS - QUETTA,Quetta,2024.0,12084.3,14,34
NAJAM BROTHERS - QUETTA,Quetta,2025.0,0.0,9,46
NEW MAJEED MEDICINE CO.,NEW MAJEED MEDICINE CO.,2024.0,100594.78,3,3
NEW MAJEED MEDICINE CO.,NEW MAJEED MEDICINE CO.,2025.0,234748.15,7,13
NEW TAMEER ENTERPRISES,NEW TAMEER ENTERPRISES,2024.0,2185010.44,76,205
NEW TAMEER ENTERPRISES,NEW TAMEER ENTERPRISES,2025.0,1839472.9,30,42
NOOR ENTERPRISES LAHORE,NOOR ENTERPRISES LAHORE,2024.0,0.0,2,8
NOOR ENTERPRISES LAHORE,NOOR ENTERPRISES LAHORE,2025.0,0.0,3,37
