SDP Name,Rev2024,Rev2025,Mo2024,Mo2025,Inv2024,Inv2025,Churned,RevGrowth,MoGrowth,InvGrowth,ChurnProb,RiskLevel
CEO DHA BHAKKAR,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,2.0,0.0,0.0,
CEO DHA BAHAWALPUR,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
CEO DHA BAHAWALNAGAR,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
CEO DHA TOBA TEK SINGH,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,2.0,0.0,0.0,
CEO DHA SIALKOT,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
CEO DHA SHEIKHUPURA,0.0,14633.0,0.0,2.0,0.0,1.0,0,1463300.0,2.0,100.0,0.0,
CEO DHA SARGODHA,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
CEO DHA SAHIWAL,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
CEO DHA RAWALPINDI,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,2.0,0.0,0.0,
CEO DHA RAJANPUR,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
CEO DHA PAKPATTAN,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
CEO DHA OKARA,0.0,67029.0,0.0,1.0,0.0,1.0,0,6702900.0,1.0,100.0,0.0,
CEO DHA NAROWAL,0.0,38011.0,0.0,1.0,0.0,2.0,0,3801100.0,1.0,200.0,0.0,
CEO DHA NANKANA SAHIB,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
CEO DHA MUZAFFAR GARH,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
CEO DHA MULTAN,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
CEO DHA MIANWALI,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
CEO DHA MANDI BAHAUDDIN,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
CEO DHA LODHRAN,0.0,43810.0,0.0,2.0,0.0,1.0,0,4381000.0,2.0,100.0,0.0,
DYNAMIC PHARMA - MULTAN,0.0,0.0,12.0,12.0,23.0,37.0,0,0.0,0.0,60.86956521739131,0.0,
DYNAMIC PHARMA - LAHORE,0.0,0.0,12.0,11.0,27.0,18.0,0,0.0,-1.0,-33.33333333333333,0.0,
DYNAM PHARMA,0.0,213704.0,0.0,2.0,0.0,10.0,0,21370400.0,2.0,1000.0,0.0,
DNS ENTERPRISES,0.0,540869.0,0.0,4.0,0.0,14.0,0,54086900.0,4.0,1400.0,0.0,
DHQ HOSPITAL (ALLIED-II HOSPITAL),0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
"Children Hospital, Faisalabad",0.0,198047.0,0.0,2.0,0.0,2.0,0,19804700.0,2.0,200.0,0.0,
CRYSTAL AGENCIES,27926870.0,28505912.0,12.0,12.0,1001.0,1083.0,0,2.0734224780650323,0.0,8.191808191808192,0.0,
CRITICARE PHARMACEUTICALS (PVT) LTD,0.0,0.0,0.0,6.0,0.0,0.0,0,0.0,6.0,0.0,0.0,
CRITICARE PHARMACEUTICALS,874452.0,239040.0,10.0,4.0,7.0,1.0,0,-72.66402272508954,-6.0,-85.71428571428571,0.0,
CHIEF DISTRIBUTOR'S - ISLAMABAD,0.0,0.0,3.0,10.0,6.0,14.0,0,0.0,7.0,133.33333333333331,0.0,
CHAUDHARY MEDICINE CENTER-TT SINGH,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
GOVT GEN HOSP (FSD TEACHING HOSP),0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
FRIENDS ENTERPRISES - AJK,10953807.0,7824262.0,11.0,10.0,193.0,160.0,0,-28.570386533193435,-1.0,-17.098445595854923,0.0,
FAUJI FOUNDATION HOSP. RAWALPINDI,0.0,1589012.0,0.0,1.0,0.0,15.0,0,158901200.0,1.0,1500.0,0.0,
FAUJI FOUNDATION HOSP. PESHAWAR,0.0,249426.0,0.0,1.0,0.0,7.0,0,24942600.0,1.0,700.0,0.0,
FAUJI FOUNDATION HOSP. LAHORE,0.0,475479.0,0.0,1.0,0.0,5.0,0,47547900.0,1.0,500.0,0.0,
FATMIYAH HOSP. C/O REMEDIAL ENTERPR,691211.0,790824.0,11.0,11.0,30.0,33.0,0,14.41137366158814,0.0,10.0,0.0,
FAMOUS DISTRIBUTORS - FAISALABAD,0.0,0.0,10.0,11.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
FAISALABAD INST.OF CARDIOLOGY,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,2.0,0.0,0.0,
FAISAL PHARMA,921379.0,228526.0,11.0,5.0,49.0,11.0,0,-75.1973943404397,-6.0,-77.55102040816327,0.0,
EXECUTIVE DIRECTOR P.I.M.H. LAHORE,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
IBS PHARMA DISTRIBUTORS-RAWALPINDI,0.0,0.0,0.0,1.0,0.0,3.0,0,0.0,1.0,300.0,0.0,
IBRAHIM & SONS - CHEMIST & DRUGGIST,0.0,0.0,0.0,5.0,0.0,6.0,0,0.0,5.0,600.0,0.0,
HOPE & HEALTH MEDICAL STORE,0.0,0.0,10.0,10.0,1.0,7.0,0,0.0,0.0,600.0,0.0,
HILTON PHARMA,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
HEALTHLINK ENTERPRISES,6474804.0,15680282.0,8.0,12.0,837.0,1561.0,0,142.17384804235002,4.0,86.49940262843488,0.0,
HEALTH CARE ENTERPRISES,6809405.0,5214235.0,12.0,12.0,137.0,84.0,0,-23.42598215262567,0.0,-38.68613138686132,0.0,
HAZZ INTERNATIONAL - KARACHI,921313.0,472884.0,12.0,12.0,24.0,18.0,0,-48.67281803252532,0.0,-25.0,0.0,
HASSAAN DISTRIBUTION,0.0,115092.0,0.0,1.0,0.0,2.0,0,11509200.0,1.0,200.0,0.0,
HAROON ENTERPRISES - PESHAWAR,12619145.0,17042838.0,12.0,12.0,945.0,813.0,0,35.055409855422056,0.0,-13.968253968253968,0.0,
HARLEY'S LIMITED,8855.0,2955.0,3.0,3.0,4.0,1.0,0,-66.62902315076228,0.0,-75.0,0.0,
HAQ ENTERPRISES,0.0,0.0,3.0,4.0,0.0,1.0,0,0.0,1.0,100.0,0.0,
HAFIZ MEDICINE COMPANY - SARGODHA,0.0,0.0,7.0,11.0,0.0,0.0,0,0.0,4.0,0.0,0.0,
KHAN SEHAT LTD - AFG,1986112.0,824879.0,9.0,6.0,77.0,23.0,0,-58.467649357135954,-3.0,-70.12987012987013,0.0,
KER SOCIEDAD ANONIMA-HONDURAS,0.0,3916.0,0.0,1.0,0.0,2.0,0,391600.0,1.0,200.0,0.0,
KER SOCIEDAD ANONIMA,44371.0,8140.0,8.0,11.0,22.0,7.0,0,-81.65468436591468,3.0,-68.18181818181817,0.0,
JUNAID MEDICOSE DISTRIBUTORS,0.0,0.0,12.0,12.0,60.0,50.0,0,0.0,0.0,-16.666666666666664,0.0,
JINDANI TRADERS,3706118.0,3149832.0,11.0,11.0,270.0,301.0,0,-15.009937622061683,0.0,11.481481481481481,0.0,
JAMIL TRADERS,4549990.0,6228103.0,11.0,12.0,183.0,219.0,0,36.88168545425374,1.0,19.672131147540984,0.0,
JADE E SERVICES PAKISTAN (PVT) LTD,214799.0,581841.0,9.0,10.0,178.0,273.0,0,170.8769593899413,1.0,53.37078651685393,0.0,
ITMG SEA CO. LTD,2010.0,7519.0,4.0,3.0,3.0,7.0,0,274.07960199004975,-1.0,133.33333333333331,0.0,
INDUS PHARMA (PVT) LTD,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
IDL PHARMA DISTRIBUTOR LAHORE,0.0,0.0,10.0,12.0,43.0,65.0,0,0.0,2.0,51.162790697674424,0.0,
MEDICATE  INTERNATIONAL,10591749.0,10719983.0,12.0,12.0,156.0,172.0,0,1.2106971190499323,0.0,10.256410256410255,0.0,
MEDI AIM PHARMA,14600047.0,12332158.0,12.0,12.0,381.0,421.0,0,-15.533436296472198,0.0,10.498687664041995,0.0,
MED N TECH PHARMA,922685.0,1743795.0,10.0,10.0,10.0,21.0,0,88.9913675848204,0.0,110.00000000000001,0.0,
MAX ENTERPRISES,8760151.0,7918019.0,12.0,12.0,133.0,155.0,0,-9.613213288218434,0.0,16.541353383458645,0.0,
MARTIN DOW LIMITED,0.0,19940.0,2.0,7.0,0.0,1.0,0,1994000.0,5.0,100.0,0.0,
MACTER INTERNATIONAL LTD.,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
M. ABDULLAH ENTERPRISES,69872919.0,72236352.0,12.0,12.0,3812.0,4022.0,0,3.382473544578837,0.0,5.508919202518363,0.0,
LIFE LINE DISTRIBUTORS,52535925.0,59891368.0,12.0,12.0,1754.0,2071.0,0,14.000787080459704,0.0,18.07297605473204,0.0,
LIFE CARE - RAWALPINDI,0.0,0.0,9.0,12.0,0.0,0.0,0,0.0,3.0,0.0,0.0,
"LIAQUAT NATIONAL HOSPITAL, KARACHI",0.0,0.0,6.0,12.0,0.0,0.0,0,0.0,6.0,0.0,0.0,
LABOREX KENYA LIMITED,0.0,154.0,0.0,3.0,0.0,10.0,0,15400.0,3.0,1000.0,0.0,
NUSRAT PHARMA - KOTLI,77098890.0,124074540.0,9.0,12.0,1770.0,2698.0,0,60.9290873059262,3.0,52.429378531073446,0.0,
NOVIPHARM ENTERPRISES,0.0,0.0,12.0,12.0,14.0,94.0,0,0.0,0.0,571.4285714285714,0.0,
NOOR MEDICINE COMPANY,33018563.0,42249038.0,12.0,12.0,1272.0,1371.0,0,27.955411021370008,0.0,7.783018867924528,0.0,
NOOR ENTERPRISES LAHORE,0.0,0.0,3.0,11.0,3.0,11.0,0,0.0,8.0,266.66666666666663,0.0,
SPECTRUM MEDICAL SUPPLIES,47082113.0,57527381.0,12.0,12.0,2135.0,2406.0,0,22.18521500936035,0.0,12.69320843091335,0.0,
NEW MAJEED MEDICINE CO.,100595.0,234747.0,1.0,7.0,3.0,12.0,0,133.3585168248919,6.0,300.0,0.0,
SOMH FF KARACHI,0.0,577500.0,0.0,1.0,0.0,9.0,0,57750000.0,1.0,900.0,0.0,
