Product,Y2022,Y2023,Y2024,Y2025
ESTAR TAB. 20MG CP (GTM) 28'S,0.0,3902.58,5866.74,0.0
ESTAR TAB. 20MG CP (IQ) 4X7'S,5609.799999999999,36482.3,14360.400000000001,20706.0
ESTAR TAB. 20MG CP 2X7'S,10757712.75,29039835.09,34119267.23,44243985.63
ESTAR TAB. 5MG CP (AFG) 2X7'S,0.0,0.0,210390.8,328598.98
ESTAR TAB. 5MG CP (CMB),0.0,0.0,0.0,3286.8
ESTAR TAB. 5MG CP 2X7'S,37775134.43,88386742.43,122167555.65,147863861.32
ESTOREX TAB. 10MG CP (AZN) 1X10'S,0.0,0.0,4993.5,0.0
EVO JOSHANDA SAC. CP 1X30'S,7315068.31,13091278.620000001,7515295.01,32096.47
EVOCHECK BPM68 BLOOD PRESSURE MONITOR,18957726.07,34494065.09,6074496.0,5655356.25
EVOCHECK GM700S BGM METER KIT,23755333.7,43211940.0,71276001.5,57926493.87
EVOCHECK GM700S BGM TEST STRIPS 2X25'S,64854934.03,149458965.48,183394375.3,182820776.88
EVOCHECK GO BGM METER KIT,17056191.0,37651578.0,77474503.0,97883070.6
EVOCHECK GO BGM TEST STRIP 2X25'S,10414478.0,39178153.92,88875197.89,151847583.34
EVOCHECK GO TEST STRIP (FOIL PAC)1X50'S,0.0,0.0,0.0,1645756.68
EVOCHECK INFRARED THERMOMETER,0.0,0.0,42471.27,0.0
