Yr,Mo,ProductName,TeamName,Revenue,Units,Product,RequestorTeams,PromoSpend,Requests
2024,11,ESTAR,TITANS,33554740.3264,77598.0,ESTAR,TITANS,1075150.8,19
2024,11,EVOKALM,MAVERICKS,8794356.063000001,32460.0,EVOKALM,MAVERICKS,49103.0,4
2024,11,EVOPRIDE,WINNERS,16828116.6006,28589.0,EVOPRIDE,WINNERS,1124508.2,7
2024,11,EVOPRIDE PLUS,WINNERS,23533731.155300003,54501.0,EVOPRIDE PLUS,WINNERS,2220911.0,10
2024,11,FEMOVA,GLADIATORS,14195860.0477,13229.0,FEMOVA,GLADIATORS,766655.0,13
2024,11,FERFER,GLADIATORS,16643063.625000002,22157.0,FERFER,GLADIATORS,1848558.8,15
2024,11,INOSITA PLUS,METABOLIZERS,97862016.9749,94431.0,INOSITA PLUS,METABOLIZERS,1231205.7,23
2024,11,INOSITA PLUS,WINNERS,32320928.0743,53322.0,INOSITA PLUS,WINNERS,2989250.0,5
2024,11,KALSOB,BONE SAVIORS,26428874.1373,42523.0,KALSOB,BONE SAVIORS,1441241.4,18
2024,11,KLEVRA,MAVERICKS,7363472.513,7034.0,KLEVRA,MAVERICKS,261974.5,3
2024,11,LOWPLAT,CHALLENGERS,79448288.82930002,337105.0,LOWPLAT,CHALLENGERS,4963297.91,38
2024,11,LOWPLAT PLUS,LEGENDS,105858569.5254,419686.0,LOWPLAT PLUS,LEGENDS,1590480.0,21
2024,11,NISE,BONE SAVIORS,70561110.0528,272211.0,NISE,BONE SAVIORS,3913877.75,46
2024,11,ONITA,ELITE,13486317.6,11433.0,ONITA,ELITE,569063.0,10
2024,11,OPT-D,ELITE,38348523.5266,159397.0,OPT-D,ELITE,1007743.0,23
2024,11,ORSLIM,WARRIORS,64045755.9375,29484.0,ORSLIM,WARRIORS,1536379.7,22
2024,11,PARIDOPA,TITANS,7051239.28,4711.0,PARIDOPA,TITANS,564107.0,6
2024,11,RAMIPACE,CHAMPIONS,36560455.7195,59025.0,RAMIPACE,CHAMPIONS,268690.21,5
2024,11,SACVIN,ALPHA,38997279.8613,27683.0,SACVIN,ALPHA,2324445.2,33
2024,11,SHEVIT,WARRIORS,8610156.6408,17399.0,SHEVIT,WARRIORS,747510.0,11
2024,11,SPARLIV,TITANS,4308328.0538,5476.0,SPARLIV,TITANS,114800.0,4
2024,11,TELSARTA,NAVIGATORS,7946234.2334,29562.0,TELSARTA,NAVIGATORS,217600.0,4
2024,11,TREATAN,METABOLIZERS,12212154.8711,29356.0,TREATAN,METABOLIZERS,189479.0,6
2024,11,XILICA,TITANS,13123786.5259,32641.0,XILICA,TITANS,450107.0,7
2024,11,ZILERO,CHAMPIONS,1116300.4185,1342.0,ZILERO,CHAMPIONS,237499.2,6
2024,12,ANPLAG,CHAMPIONS,28128452.58,20763.0,ANPLAG,CHAMPIONS,650514.01,12
2024,12,AVSAR PLUS,BRAVO,45943364.401,102184.0,AVSAR PLUS,BRAVO,1329235.32,12
2024,12,DIPOF,MAVERICKS,2115216.5436,9172.0,DIPOF,MAVERICKS,505416.0,3
2024,12,DUZALTA,MAVERICKS,17835545.9685,30640.0,DUZALTA,MAVERICKS,231172.0,3
2024,12,ERLI,BRAVO,16954678.4788,39897.0,ERLI,BRAVO,266868.52,6
2024,12,ESTAR,TITANS,33788889.1197,77956.0,ESTAR,TITANS,1369911.85,24
