City,Yr,Revenue,Qty,Products
SPECTRUM MEDICAL SUPPLIES,2024.0,47082133.82,281551.0,136
SPECTRUM MEDICAL SUPPLIES,2025.0,57527383.92,313313.0,145
STATE PHARMACEUTICALS CORPORATION,2024.0,0.0,0.0,2
STATE PHARMACEUTICALS CORPORATION,2025.0,0.0,0.0,4
SULTAN SUPPLIES SERVICES,2024.0,60327057.43,178374.0,175
Sahiwal,2024.0,120231825.48,384705.0,205
Sahiwal,2025.0,149757106.59,423155.0,205
Sargodha,2024.0,142259902.03,461006.0,208
Sargodha,2025.0,184887682.77,512458.0,205
Services Gen. Hosp. Lahore,2025.0,0.0,0.0,1
Shahdadpur,2024.0,34828694.16,120991.0,169
Shahdadpur,2025.0,51369665.81,160212.0,170
Shakargarh,2025.0,3503859.45,8808.0,119
Sheikhupura,2024.0,98251678.56,302400.0,190
Sheikhupura,2025.0,127102394.38,349973.0,199
Shorkot,2025.0,4516061.12,10565.0,115
Sialkot,2024.0,138621376.48,430466.0,194
Sialkot,2025.0,171591114.18,465513.0,195
Sihiya Company,2025.0,0.0,441.0,26
Stock Co,2024.0,0.0,0.0,1
Sukkur,2024.0,110717278.44,360045.0,196
Sukkur,2025.0,143853069.29,425111.0,199
Swabi,2024.0,96261566.65,294738.0,185
Swabi,2025.0,136645757.76,363157.0,181
Swat,2024.0,222468105.74,667242.0,210
Swat,2025.0,291609694.02,793461.0,204
Syed Abdullah Shah Institute Sehwan,2025.0,0.0,930.0,2
TABBA HEART INST. C/O M.ABDULLAH EN,2024.0,299096.05,1684.0,3
TALHA TRADERS,2024.0,28691303.15,169374.0,119
TALHA TRADERS,2025.0,30298834.12,166267.42,129
TANVEER ENTERPRISES,2024.0,424714.4,5551.625,6
TANVEER ENTERPRISES,2025.0,685554.1900000001,7833.68,13
TAURUS MEDICAL COMPANY,2024.0,13458012.01,49916.0,129
TAURUS MEDICAL COMPANY,2025.0,23320842.31,78944.0,146
TFMF PHARMA DISTRIBUTOR,2024.0,5173146.64,36913.0,75
TFMF PHARMA DISTRIBUTOR,2025.0,430884.98000000004,2127.0,44
THREE M ENTERPRISES LAHORE,2024.0,0.0,97.0,3
Tauras Medical Company,2024.0,2201069.09,8817.0,127
Thatta,2024.0,26681219.81,90085.0,159
Thatta,2025.0,36637128.31,110990.0,173
"The Children's Hospital, Lahore",2025.0,247500.0,450.0,1
Timergara,2024.0,146754637.78,437163.0,199
Timergara,2025.0,175223800.18,464322.0,199
Tt Singh,2025.0,0.0,440.0,4
Umerkot,2024.0,54775006.93,185125.0,161
Umerkot,2025.0,60413672.71,174175.0,172
WD PHARMA,2024.0,13311071.0,55691.0,81
WD PHARMA,2025.0,21491561.86,92471.0,94
WEME,2024.0,0.0,0.0,1
WESTGATE PHARMACEUTICALS,2025.0,0.0,408.0,2
Wazirabad institute of Cardiology,2025.0,0.0,755.89,1
YASMINA PHARMA SARL,2025.0,5000.0,450.0,3
ZAIDI TRADERS,2025.0,0.0,451.0,3
ZESH LIFE SCIENCE CO. LTD.,2025.0,0.0,2091.0,11
